# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2026-02-26 14:26:08.417
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002660,-0.0534,-0.0144,-0.0120,0.06
0.014056,0.0178,0.0606,-0.1635,0.18
0.021252,0.0021,0.0137,-0.2137,0.21
0.030645,-0.1464,0.0446,-0.0713,0.17
0.038200,-0.1910,0.0180,0.0193,0.19
0.047337,-0.2130,0.0163,-0.0127,0.21
0.059281,-0.1417,-0.0030,-0.0960,0.17
0.068047,-0.0742,-0.0294,-0.0945,0.12
0.076703,-0.0375,0.0067,-0.0365,0.05
0.090418,0.0478,-0.0256,0.0241,0.06
0.098304,0.0151,-0.0460,0.0120,0.05
0.113514,-0.0453,-0.0003,-0.0351,0.06
0.124131,0.0230,-0.0176,-0.1450,0.15
0.132696,-0.0138,-0.0038,-0.2155,0.22
0.141545,-0.0389,0.0151,-0.1614,0.17
0.151737,-0.0048,0.0444,-0.1116,0.12
0.164667,-0.0459,0.0113,-0.0487,0.07
0.173106,-0.0753,-0.0028,-0.0056,0.08
0.181783,-0.0479,0.0137,0.1757,0.18
0.190508,-0.0075,-0.0143,0.1316,0.13
0.198685,0.0832,-0.0121,0.0753,0.11
0.207681,0.1534,-0.0149,-0.0319,0.16
0.217166,0.0222,-0.0265,-0.0796,0.09
0.236081,-0.0621,-0.0499,0.1043,0.13
0.249137,-0.0747,-0.0458,0.2556,0.27
0.256366,-0.0611,0.0109,0.2585,0.27
0.266577,-0.1005,0.0629,0.0967,0.15
0.273665,-0.0386,0.0559,-0.0743,0.10
0.282958,0.0001,0.0373,-0.1966,0.20
0.292722,0.0761,0.0542,-0.2404,0.26
0.307654,0.1496,-0.0116,-0.2270,0.27
0.315187,0.1012,-0.0355,-0.1703,0.20
0.322526,0.0076,-0.0408,-0.1017,0.11
0.331192,-0.0424,-0.0203,0.0317,0.06
0.339614,-0.0819,0.0239,0.1170,0.14
0.348911,-0.1044,0.0020,0.0539,0.12
0.358000,-0.0977,0.0159,-0.0106,0.10
